peptide,gene_id,shape,rate,true_effect,effect_size,mean_abundance,miss_prob
pep_0001,gene_001,8.192040825262666,0.07684693450806662,TRUE,4.7598480810411274,106.60205091723923,0
pep_0002,gene_001,7.3391830353066325,0.09878207758069038,TRUE,4.138995754066855,74.29670659955094,0
pep_0003,gene_001,4.840839745942503,0.10280397487804294,TRUE,4.258880703244358,47.088060084108854,0.008735819747673429
pep_0004,gene_001,5.714339837431908,0.06225888237822801,TRUE,3.852500980719924,91.78352741247114,0
pep_0005,gene_001,7.332214059773833,0.07414607411716133,TRUE,3.7730151368305087,98.88876986511643,0
pep_0006,gene_002,4.150786902289838,0.054505250016227365,TRUE,4.986521162558347,76.1538916169371,0
pep_0007,gene_002,6.797383329831064,0.08211523592006414,TRUE,4.813685993663967,82.77858857335612,0
pep_0008,gene_002,9.166064110584557,0.09631938459118827,TRUE,3.8901724913157523,95.16323375080108,0
pep_0009,gene_002,5.515007072594017,0.11558537622680887,TRUE,3.9637294807471335,47.71370957665202,0.00685887127004392
pep_0010,gene_002,7.484838023781776,0.09135719920974225,TRUE,3.762015052139759,81.92937270983676,0
pep_0011,gene_003,4.0355995409190655,0.06839829402277246,TRUE,3.8299280032515526,59.00146485489034,0
pep_0012,gene_003,8.15119563927874,0.08606776818167418,TRUE,4.602347368374467,94.70671555085494,0
pep_0013,gene_003,5.386750281788409,0.07871878838166595,TRUE,4.107233562972397,68.43029971029145,0
pep_0014,gene_003,9.091194773558527,0.08251724246190861,TRUE,4.055184791795909,110.1732741221349,0
pep_0015,gene_003,4.923011444509029,0.11533331657992675,TRUE,3.51892880955711,42.68507652857923,0.021944770414262293
pep_0016,gene_004,6.140855888836086,0.07113546617561951,TRUE,4.302067463751882,86.32621980258789,0
pep_0017,gene_004,7.271227024961263,0.07562007415108382,TRUE,4.045512094628066,96.15471958456217,0
pep_0018,gene_004,4.007185682654381,0.10593828422483056,TRUE,4.570205637253821,37.82566153469143,0.036523015395925715
pep_0019,gene_004,5.90694693941623,0.07029178581899032,TRUE,4.648241957649589,84.03466878231431,0
pep_0020,gene_004,4.1037361226044595,0.09096108617493882,TRUE,3.318223062902689,45.11529375003332,0.014654118749900052
pep_0021,gene_005,6.04934815550223,0.09211567855207249,TRUE,4.161383506841958,65.6712109229328,0
pep_0022,gene_005,6.060632799752057,0.11964402681915089,TRUE,3.1156442505307496,50.65554011244595,0
pep_0023,gene_005,5.39537615980953,0.10110714539885521,TRUE,4.896006969269365,53.36295608510592,0
